0.00 6.52	JAMIE:  	How [can you teach a three-year-old to] ta=p [2dance2].
4.43 5.78	HAROLD: 	    [I can't imagine teaching a] --
6.08 6.35	        	                                             [2@Yeah2],
6.35 6.73	        	really.
6.73 8.16	JAMIE:  	... (H)=
8.16 9.56	MILES:  	... Who suggested this to em.
9.56 10.41	HAROLD: 	I have no idea.
10.41 13.06	        	It was probably my= .. sister-in-law's idea because,
13.06 15.01	        	... I think they saw= ... that movie.
15.01 16.43	JAMIE:  	... Tap?
16.43 16.98	        	[X] [2X2] --
16.50 17.00	HAROLD: 	[What] [2was the2],
16.60 17.00	MILES:  	    [2<X They had X>2] --
17.00 19.10	HAROLD: 	the movie with that .. really hot tap danc[er].
19.00 19.75	JAMIE:  	                                          [Oh] that ki=d.
19.75 21.82	MILES:  	... He was actually here two weeks ago,
21.82 22.57	        	and [I missed him].
22.37 24.25	JAMIE:  	    [at the .. at] the ja=zz .. t[2ap thing or whatever2].
23.35 24.32	HAROLD: 	                                 [2Was he a little kid2]?
24.32 25.75	MILES:  	[3No he's sixteen now=3].
24.48 25.28	JAMIE:  	[3(H) No he's like3] --
25.75 26.87	        	... Yeah he's a teenager,
26.87 28.78	        	but he teaches [these classes in New York].
27.42 27.82	MILES:  	               [<X That X> boy,
27.82 29.23	        	.. he's supposed to be awe]some.
29.23 29.63	JAMIE:  	Yeah.
29.63 30.73	        	... Really fa[=st].
30.48 30.98	PETE:   	             [Hm].
30.98 33.18	HAROLD: 	... But I'm sure that was the .. the [2impetus2].
32.90 33.48	MILES:  	                                     [2Have you2] seen him?
33.48 33.90	JAMIE:  	.. No=.
33.90 35.20	        	I just read an article on him.
35.20 37.62	MILES:  	.. You .. you probably read the same Examiner article [I read].
37.27 37.65	JAMIE:  	                                                      [Yeah],
37.65 38.06	        	probably,
38.06 38.38	        	yeah.
38.38 39.57	MILES:  	talking about how Gregory Hines said,
39.57 41.90	        	he doesn't realize a human being can't tap [that fa=]st?
41.32 41.86	JAMIE:  	                                           [Right].
41.86 42.18	        	Right.
42.18 42.68	PETE:   	@@@
42.68 42.88	JAMIE:  	Yeah.
42.88 44.00	MILES:  	And they were talking about how,
44.00 45.91	        	... he's teaching [these] cla=sses,
44.95 45.30	PETE:   	                  [Hm].
45.91 47.53	MILES:  	and I guess he really goes fa=st.
47.53 47.86	        	[<X And X>],
47.59 47.94	JAMIE:  	[Yeah].
47.94 48.49	MILES:  	(H) he k- --
48.49 50.09	JAMIE:  	... He does[n't explain anything precisely].
48.69 52.20	MILES:  	           [He has to double it dow=n to] like o=ne f=ifth speed or something,
52.20 53.31	        	before they can g=- pick it up-,
53.31 54.23	        	... @@
54.23 55.91	HAROLD: 	Well I'm sure !Thomas is all over it.
55.91 61.26	JAMIE:  	... Prob[ably XX] [2XXX2] --
59.81 60.56	HAROLD: 	        [I mean he] [2has a bro-2] --
60.26 61.36	MILES:  	                  [2XXXX could have2] see=n him.
61.36 63.58	HAROLD: 	I guess that means his broken leg is [3@doing @okay3].
62.97 63.86	PETE:   	                                     [3I was wonder3]ing about that,
63.86 65.25	        	I was imagining [4he had broke an arm4] or something.
64.24 64.99	JAMIE:  	                [4<HI Oh yeah= HI>4].
65.25 66.05	PETE:   	But it was his leg?
66.05 66.70	HAROLD: 	.. Yeah[=].
66.35 66.76	PETE:   	       [That's like],
66.76 68.71	        	.. <X I guess X> that he was being hauled around in a little wagon [2and stuff2].
68.38 68.96	HAROLD: 	                                                                   [2Right2].
68.96 73.50	        	... [3He healed very quickly3].
72.10 73.20	JAMIE:  	    [3<X Guess X> kids' bo=nes,
73.20 75.07	        	just like3] .. [4grow4] [5back5] really fast (Hx).
73.72 74.37	PETE:   	               [4M4][5hm=5].
73.81 74.22	HAROLD: 	                        [5Yeah5].
75.07 76.80	        	I think they're really soft to start with.
76.80 77.65	JAMIE:  	They're made of rubber.
77.65 78.70	        	... Th- that's it.
78.70 79.35	HAROLD: 	That's why b-,
79.35 81.50	        	.. little kids usually don't break their legs anyway.
81.50 83.30	PETE:   	.. Cause they're [so X][2XXX2].
82.17 83.47	JAMIE:  	                 [Cause they're made] [2of rubber2].
82.50 84.58	MILES:  	                       [2But they have more2] cartilage than w-,
84.58 84.93	        	... [3you know3].
84.75 84.88	HAROLD: 	    [3Yeah3],
84.88 85.48	        	aren't they real s-,
85.48 87.18	        	.. aren't their k- .. legs [pretty soft]?
86.48 86.65	MILES:  	                           [Yeah,
86.65 88.68	        	there's] less calcium % deposits <X in them X>.
88.68 89.78	        	... [2And2] also,
89.05 89.45	PETE:   	    [2Mm2].
89.78 90.88	MILES:  	.. they're still growing.
90.88 92.78	        	... And the way= ... bones grow is,
92.78 93.69	        	.. you make cartilage,
93.69 95.18	        	.. and then you deposit calcium in it.
95.18 95.64	HAROLD: 	Oh,
95.64 97.33	        	and [then that turns into hard bone].
95.75 98.58	MILES:  	    [So that's why they always have] ... more flexibility.
98.58 99.58	        	Cause [2as2] they're growing,
98.68 98.93	PETE:   	      [2Hm2].
99.58 101.70	MILES:  	... you're making cartilage.
101.70 102.10	        	So it [al- --
101.90 102.28	PETE:   	      [Mhm].
102.10 102.88	MILES:  	They] always have that,
102.88 104.07	        	until they reach adulthood,
104.07 104.83	        	... in which case,
104.83 107.28	HAROLD: 	... They get old and cranky [like the rest of] [2us2].
105.90 107.15	MILES:  	                            [it stops][2=2].
106.75 108.36	JAMIE:  	                                               [2@@2]@[3@@3]@
107.25 107.65	PETE:   	                                                      [3Unhunh3],
108.36 109.36	JAMIE:  	... [4(SNIFF)4]
108.41 109.36	PETE:   	    [4and then they break4].
109.36 110.91	JAMIE:  	... Old and rickety and brittle.
110.91 111.51	PETE:   	.. [Mhm],
110.91 111.56	HAROLD: 	   [Mhm],
111.56 114.02	        	uncoordinated and .. unflexible.
114.02 114.77	PETE:   	... Right,
114.77 115.92	HAROLD: 	... Stiff[=].
115.58 116.29	JAMIE:  	         [In]flexible?
116.29 117.68	PETE:   	... That too.
117.68 124.27	MILES:  	... What are you planning on doing with dancing,
124.27 124.76	        	~Harold?
124.76 127.59	        	... You were taking some classes last fall=?
127.59 128.81	HAROLD: 	.. I'll take a few more.
128.81 129.40	        	[as a%] --
129.09 129.49	JAMIE:  	[You will]?
129.40 130.64	HAROLD: 	It turns out as a spouse,
130.64 131.64	        	I get in free=.
131.64 132.09	        	[(H)]
131.66 132.16	PETE:   	[Oh really].
132.16 132.42	HAROLD: 	So,
132.09 132.73	PETE:   	That's not [bad].
132.57 133.52	JAMIE:  	           [to] group classes,
133.52 133.87	        	yeah.
133.87 134.52	PETE:   	... Hm.
134.52 134.88	HAROLD: 	So,
134.88 135.73	        	I should [do that].
135.33 135.83	MILES:  	         [Oh really]?
135.83 136.38	JAMIE:  	Mhm.
136.38 138.53	MILES:  	... That's why you married her.
138.53 138.97	        	@@@
138.97 141.26	        	[@@@@@@@]@
139.46 141.01	JAMIE:  	[(H)= (Hx)=]
141.26 142.12	        	Some [2ben2]efit,
141.56 141.86	PETE:   	     [2Mm2],
142.12 142.41	JAMIE:  	hunh.
142.41 142.71	        	[@@@]
142.41 143.92	MILES:  	[@]@@[2@@2]@
143.01 143.51	PETE:   	     [2Mhm2],
143.82 144.17	JAMIE:  	@(H)
144.17 145.12	HAROLD: 	Better than nothing.
145.12 146.60	MILES:  	[@@@@@]
145.76 149.08	PETE:   	[@@@@@@@][2@@@(H)@@2]
147.38 148.44	JAMIE:  	         [2<VOX Oh= VOX>,
148.44 151.03	        	I cannot be2]l=ieve [3you said that.
149.78 151.18	PETE:   	                    [3@(H)@@@
151.03 152.88	JAMIE:  	What a jerk you are (Hx)3].
151.18 154.38	PETE:   	@ @3] @ [4@4]
153.23 153.88	MILES:  	        [4@@4]
154.38 155.70	JAMIE:  	Aren't you guys gonna stick up for me?
155.70 157.01	        	and beat up on him or something?
157.01 158.16	MILES:  	He's bigger than [I am].
157.58 158.03	PETE:   	                 [XX],
158.16 159.02	        	@@@
159.02 159.97	MILES:  	He's not bigger than you.
159.97 160.42	PETE:   	.. No.
160.42 161.12	HAROLD: 	<@ [But he's my] --
160.39 161.24	MILES:  	   [@@@]
161.19 162.29	HAROLD: 	he's my [2friend2] @>.
161.69 162.64	PETE:   	        [2Tha-2] [3that's right3].
162.11 163.31	MILES:  	                 [3@@3]@
163.31 164.41	JAMIE:  	[4@(H)4]
163.81 165.01	PETE:   	[4You know who I'll4] stick up [5for5].
164.66 167.49	MILES:  	                               [5@@5]@@[6@@@@6]
166.07 167.07	JAMIE:  	                                       [6(TSK) (H)=6]
167.49 169.79	PETE:   	... I stuck up for you today at that store.
169.79 170.59	HAROLD: 	That's true.
170.59 171.41	JAMIE:  	... You did.
171.41 172.21	        	[You made me get] the,
171.41 171.91	PETE:   	[Mhm],
172.21 172.44	JAMIE:  	um,
172.44 173.07	PETE:   	that's right.
173.07 174.12	JAMIE:  	the green <X scarf X>.
174.12 175.62	        	... That's right.
175.62 178.24	        	... He was my fashion consultant today.
178.24 178.79	PETE:   	Right.
178.79 180.08	        	... @@@
180.08 180.38	MILES:  	Hm.
180.38 181.83	PETE:   	@(H)
181.83 184.67	HAROLD: 	... I wasn't?
184.67 185.42	PETE:   	... That's right.
185.42 185.92	JAMIE:  	Well you- --
185.92 186.47	        	.. I don't know.
186.47 189.83	HAROLD: 	... We were at this dumb store,
189.83 191.83	        	and the clerk .. kept trying to keep us interested,
191.83 192.03	PETE:   	[Hm,
191.93 193.36	HAROLD: 	[<@ while she was] buy=ing @>.
192.03 192.46	PETE:   	that's right].
193.36 194.56	MILES:  	... [2@2]
193.96 195.46	PETE:   	    [2<X Don't2] you wanna X> try on the men's clothes?
195.46 196.36	        	[3XX=3].
195.65 196.93	JAMIE:  	[3I'm the one who3] suggested that,
196.93 197.99	        	so you wouldn't be so bored.
197.99 198.29	        	[(H)]
198.14 198.34	PETE:   	[Well I-] --
198.34 199.64	JAMIE:  	So they tried on the men's clothes,
199.64 201.34	        	<PAR and they had a very small selection of men's clothes PAR>,
201.34 201.64	        	[(H)]
201.33 201.68	PETE:   	[Mhm],
201.68 203.01	JAMIE:  	they try on these really great pants,
203.01 204.41	        	and they look really goo=d .. in them.
204.41 205.96	        	... Then they didn't buy em.
205.96 206.51	PETE:   	.. Right.
206.51 207.01	        	... Well.
207.01 208.11	JAMIE:  	... You know how boys are.
208.11 209.59	        	... They never buy clothes.
209.59 209.93	PETE:   	Broke.
209.93 210.79	        	.. @@@
210.79 211.15	JAMIE:  	Broke,
211.15 211.60	        	@Yeah.
211.60 213.60	        	... (H) Students are .. are broke.
213.60 214.25	        	[(H)]
213.72 214.57	PETE:   	[Right].
214.57 214.57	>ENV:   	((MUSIC_BECOMES_AUDIBLE))
214.57 220.96	MILES:  	... %=,
220.96 221.64	        	is that that?
221.64 222.83	        	... Or [is that a real] --
222.23 222.48	JAMIE:  	       [Yeah,
222.48 223.06	        	that's a] tape.
223.06 223.63	        	That's a tape.
223.63 224.73	MILES:  	Where's it coming from.
224.73 226.24	JAMIE:  	... @[@@]
225.60 226.46	PETE:   	     [the speaker over] @there.
226.21 226.96	HAROLD: 	The speakers.
226.96 228.21	        	You [know these ..] boxes?
227.03 227.83	JAMIE:  	    [(H)=]
228.21 229.34	HAROLD: 	[2@@@@@2]
228.27 229.42	JAMIE:  	[2@@@@@@2]
228.34 230.39	PETE:   	[2@@@@2]@ @(H)
230.39 232.19	JAMIE:  	... (H) [3XXX3] --
231.54 232.88	MILES:  	        [3You must have3] good stereo.
232.88 233.98	        	Cause I feel like I'm hearing --
233.98 235.03	HAROLD: 	...We have % --
235.03 235.68	        	These are like,
235.68 237.72	JAMIE:  	the [world's worst] speakers.
236.28 237.20	MILES:  	    [Where is the other one].
237.72 239.82	HAROLD: 	These are the [2shittiest2] .. speakers on earth.
238.27 238.87	JAMIE:  	              [2Over here2].
238.12 238.72	PETE:   	              [2XXX2]
239.82 241.98	JAMIE:  	... [3besides the ones in the kitchen3].
240.65 242.80	HAROLD: 	    [3And these are an improvement over my3] [4@last @ones4].
241.94 243.47	MILES:  	                                             [4I thought that was the4] real thi=ng.
243.47 245.72	HAROLD: 	... You think we have like a [5jazz5] [6band next6] [7door7]?
244.44 245.84	MILES:  	                             [5In fact I5] [6was getting ready6] [7to say7],
244.74 245.49	PETE:   	                                      [6@@@6]
245.84 247.58	MILES:  	... is there somebody downstairs,
247.58 248.06	        	.. playing?
248.06 248.37	JAMIE:  	[@]
248.06 249.44	PETE:   	[<X I mean X>] that was what I first [2thought-,
249.23 250.78	JAMIE:  	                                     [2(H) It's <X our X> garage band2].
249.44 250.83	PETE:   	when .. when the ja=zz came on2].
250.83 252.08	        	... As compared to the other stuff,
252.08 253.58	        	for some reason it sounded like it was out there,
253.58 255.33	        	or kind of [.. coming] in [2from some2] [3place3],
253.95 254.40	JAMIE:  	           [Unhunh=]?
254.40 254.65	HAROLD: 	                          [2Hm=2].
254.82 255.37	JAMIE:  	                                        [3Hunh3].
255.37 257.67	HAROLD: 	Well that would be nice to have a little jazz band next [4door4],
257.37 257.89	PETE:   	                                                        [4Right4].
257.67 258.17	HAROLD: 	wouldn't it.
258.04 258.69	JAMIE:  	[No=].
258.16 258.81	PETE:   	[Mhm=].
258.81 262.01	HAROLD: 	... Usually we just have r=eally loud salsa parties across the street.
262.01 262.86	JAMIE:  	That's fun too.
262.86 264.31	        	... And teenagers.
264.31 265.56	        	.. kissing each other on the side[walk].
265.58 265.78	HAROLD: 	                                 [Hm=].
265.78 265.91	PETE:   	Hm=.
265.91 267.16	HAROLD: 	(KISS) (LATERAL_CLICK) (LATERAL_CLICK)
267.16 269.61	PETE:   	... And little kids throwing p=aint in your backya=rd.
269.61 270.26	HAROLD: 	Yeah=.
270.26 271.66	JAMIE:  	... (GROWL)
271.66 272.21	PETE:   	@
272.21 273.25	JAMIE:  	... [(SIGH)]
272.53 273.68	HAROLD: 	    [And in] the front yard-.
273.68 274.28	        	You saw [2that X2],
273.78 274.53	PETE:   	        [2I saw2] that,
274.53 275.33	        	.. right [3in3] [4the front,
274.73 274.93	HAROLD: 	         [3But3] --
274.73 275.33	JAMIE:  	         [3Well3] [4what is it,
275.33 275.78	        	paint4]?
275.78 276.88	PETE:   	It was the same4] [5.. color or something5].
276.33 276.98	HAROLD: 	                  [5It was like,
275.65 276.50	JAMIE:  	                  [5Or is it ch=alk5].
276.48 277.08	HAROLD: 	... Well I k-5] --
277.08 277.93	        	I went out one morning,
277.93 278.78	        	and I saw it all around,
278.78 280.68	        	and it was like on the back bumper of the Honda,
280.68 281.03	        	too.
281.03 281.63	PETE:   	<X Oh rude X>.
281.63 282.60	HAROLD: 	So I .. thought oh shit,
282.60 283.78	        	I'd better try to wipe that off,
283.78 284.93	        	so I ... I got-,
284.93 287.08	        	I went and got a wet rag and wiped it off the car=.
287.08 288.23	        	And it came off really easily.
288.23 290.13	        	And then I saw there was like this [tu=be of it],
289.35 290.25	JAMIE:  	                                   [But it was paint]?
290.25 292.53	HAROLD: 	(H) This whole tube of it across the street.
292.53 293.78	JAMIE:  	Those ki=ds are [just] --
293.35 294.15	HAROLD: 	                [sitting] in the gutter.
294.15 295.45	        	[2So I .. threw it away2],
294.20 296.10	JAMIE:  	[2And she's pregnant with another2] one.
296.10 297.00	        	There gonna have another &
297.00 298.20	HAROLD: 	Which [3one is pregnant3].
297.20 298.25	JAMIE:  	& [3br=at .. kid-3],
298.25 300.35	HAROLD: 	The [4the .. the really fat <X red-haired woman X>4]?
298.60 299.00	JAMIE:  	    [4The mother.
