0.00 13.16	NATHAN: 	... (H) Am I doing that right so far?
13.16 15.24	KATHY:  	... Mhm.
15.24 17.19	NATHAN: 	... (TSK) All the way down to that?
17.19 20.37	KATHY:  	... Mhm.
20.37 32.75	        	... (TSK) <WH I WH> think.
32.75 34.87	NATHAN: 	... I don't think I am.
34.87 35.46	        	Do you?
35.46 43.28	KATHY:  	... (Hx) (H) And you'd have to have that plus or minus.
43.28 44.59	NATHAN: 	@@@@@
44.59 45.02	KATHY:  	[What].
44.63 46.48	NATHAN: 	[I] don't know what I did to ge=t that.
46.48 47.73	        	.. Where did I get that .. square root of- --
47.73 48.23	        	um=,
48.23 49.78	        	... ex squa[red].
49.43 51.18	KATHY:  	           [Because] you brought this .. over here.
51.18 53.90	        	... You brought ... three (H) over here.
53.90 55.51	        	... divided by three,
55.51 56.86	        	(H) and then you have ex squared,
56.86 57.90	        	so if you want to find ex,
57.90 59.46	        	you have the square root of ex squared.
59.46 68.39	NATHAN: 	... <X I guess X> all I can't figure out is,
68.39 71.64	        	what the square root of negative two thir- .. thi- .. two thirds is.
71.64 72.74	        	... Would that be,
72.74 74.57	KATHY:  	... i [s=quare root two],
73.38 75.03	NATHAN: 	      [i square root two th]irds?
75.03 76.13	KATHY:  	... o- over three,
76.13 78.03	        	... The whole thing would be over three-.
78.03 78.43	        	<BR Well BR>.
78.43 79.23	        	No it couldn't be.
79.23 81.76	        	... Square root of two thirds,
81.76 82.14	        	yeah.
82.14 88.30	NATHAN: 	... (H)[= (Hx)=]
86.66 87.90	KATHY:  	       [But then you got the other one ~Nathan].
88.30 89.35	NATHAN: 	Oh (Hx),
89.35 91.27	        	<WH gosh WH> (Hx),
91.27 101.87	        	... hm.
101.87 106.19	        	... Le=ah=.
106.19 108.38	        	... She snoozing on the floor?
108.38 108.98	KATHY:  	.. Mhm.
108.98 111.28	        	... Not anymore,
111.28 112.28	        	you woke her u=p.
112.28 116.06	NATHAN: 	... @@@@
116.06 126.45	KATHY:  	... @@@ ... @@@ ... (H)
126.45 128.20	        	... She's doing the karate kid,
128.20 128.75	        	~Nathan.
128.75 129.20	NATHAN: 	.. She's like,
129.20 130.70	        	lea=ve me alo=ne.
130.70 133.15	        	... <@ Do I deser=ve this @>.
133.15 134.76	        	[@@@@ @@@ @
