0.00 5.88	DORIS:  	... ~Sam has been,
5.88 8.58	        	.. has taken such an interest in this retirement bit.
8.58 9.95	        	.. (H) ... That it --
9.95 11.55	        	.. it really surprises me.
11.60 13.35	ANGELA: 	.. Well she's begun to listen.
13.35 14.30	DORIS:  	.. Yes she has.
14.30 14.69	ANGELA: 	You know,
14.69 15.03	        	(H)
15.03 15.68	DORIS:  	She has.
15.68 16.50	ANGELA: 	... uh=,
16.50 19.00	        	she used to .. (H) go over and [read a book,
18.25 19.38	DORIS:  	                               [%=_Yeah or],
19.00 19.63	ANGELA: 	or something].
19.63 20.71	DORIS:  	b- turn a deaf ear.
20.71 21.71	        	That was for @sure.
21.71 23.04	        	@[@@@@]
21.95 23.36	ANGELA: 	[(H) Bu=t uh]=,
23.36 25.29	        	... once you understand it,
25.29 26.29	        	.. you [know] you=,
25.54 25.84	DORIS:  	   [(SNIFF)]
26.29 28.08	ANGELA: 	you='re interested in getting right in,
28.08 28.88	        	and going after it.
28.88 29.13	DORIS:  	Yeah.
29.13 30.67	        	.. (H) I really oughta call,
30.67 31.69	        	at least !Reg !Barr,
31.69 32.67	        	and ask if= uh,
32.67 35.10	        	... (H) he's still speaking to me,
35.10 36.38	        	.. @@@@@[@@]
36.32 39.36	ANGELA: 	        [(H)] Well now he was the one that was up on the (H) % [2left.
38.70 38.97	DORIS:  	                                                               [2Yeah.
39.36 39.84	ANGELA: 	.. Up there.
39.43 39.77	DORIS:  	.. Yeah.
39.77 40.20	        	Yes2].
39.85 42.33	ANGELA: 	(H)2] Well he came over to you all smiles,
42.34 43.08	        	I notice[d].
42.98 43.73	DORIS:  	[N]_yes.
43.73 44.02	        	.. Well,
44.02 46.02	        	we've known each other for thirty some years,
46.02 46.67	        	why wouldn't @he.
46.67 48.33	        	(H) But a- anyway=,
48.33 48.92	        	.. u=m,
48.92 54.45	        	... I was so glad that he opened up on this disclosure bit.
54.45 58.88	        	... because it was <<POUND +!Bu=rns that's been ob+jecting to our +having it POUND>>.
58.88 59.38	ANGELA: 	... Oh?
59.38 60.58	DORIS:  	.. And I knew this.
60.58 62.83	        	.. (H) So when he opened up on that,
62.83 64.08	        	and she followed through,
64.13 65.38	        	and told about her husband,
65.38 66.81	        	... (H) you know?
66.81 68.24	>ENV:   	... ((DOOR))
68.24 71.07	DORIS:  	Not necessarily that she would approve of it,
71.07 73.60	        	... but at least she wasn't disapproving &
73.60 74.03	ANGELA: 	.. Yeah.
74.03 74.48	DORIS:  	& .. of it.
74.48 74.78	ANGELA: 	Yeah.
74.78 76.61	DORIS:  	... (SNIFF) An=d uh,
76.61 78.31	        	... (H) course !Duvall might- --
78.31 78.79	        	%= And I- --
78.79 80.34	        	.. I cannot get over this.
80.43 81.29	        	... That man.
81.29 82.42	        	.. I really cannot.
82.42 83.46	        	.. (H) And you know,
83.46 84.96	        	.. he must have been thinking,
84.96 88.24	        	... when he said he wasn't a political appointee,
88.24 93.52	        	(H) he must have been %%associating .. (H) his relationship .. wi=th .. !Steit[ler].
93.52 93.52	>ENV:   	                                                                              [((MICROPHONE))]
93.52 94.19	ANGELA: 	... Oh.
94.19 94.19	>ENV:   	<<MICROPHONE
94.19 95.99	DORIS:  	... I really do believe that.
95.99 96.68	ANGELA: 	Mhm.
96.68 97.42	DORIS:  	... In his thinking.
97.42 100.45	        	... I don't know how else he could have .. done it.
100.45 101.79	        	That ... topples over.
101.79 101.79	>ENV:   	MICROPHONE>>
101.79 103.61	DORIS:  	... Um,
103.61 103.90	SAM:    	(H)=
103.90 105.81	DORIS:  	(H) but he didn't say that.
105.81 106.38	ANGELA: 	.. Oh,
106.38 110.73	DORIS:  	... He said I loved your % hum- .. humor,
110.73 111.70	        	... uh,
111.70 112.78	        	... and I love you,
112.78 113.25	        	.. but,
113.25 116.22	        	... <Q I= am no=t a political appointee Q>.
116.22 117.63	        	And his eyes were [just snapping].
116.87 119.06	ANGELA: 	                  [@@@@]@@@@[2@@2]
118.66 119.87	DORIS:  	                            [2And I2] said <Q oh Q>?
119.87 120.35	        	[3@=3]
119.91 120.70	ANGELA: 	[3@@3]
120.70 122.08	DORIS:  	<Q How did you get on the board Q>.
122.08 122.58	ANGELA: 	[@@]
122.33 122.97	DORIS:  	[(H)] Well he said,
122.97 125.24	        	I got a letter from the gover[nor .. asking].
124.40 127.26	ANGELA: 	                             [@=@@]@@@@@@
127.26 131.68	DORIS:  	... [2@@ Every2]body on there is an app- political appointee=,
128.04 128.73	ANGELA: 	    [2@@@2]
131.68 133.79	DORIS:  	.. (H) that wasn't the p=oint.
133.79 134.90	ANGELA: 	... @[@@]
134.27 135.73	DORIS:  	     [The point] wa=s,
135.73 139.24	        	... (H) I could have mentioned what was in the paper about hi=m,
139.24 140.38	        	that he was related,
140.38 140.74	        	% you know,
140.74 142.18	        	had business with !Steitler,
142.18 143.49	        	.. (H) And I just said,
143.49 145.53	        	and there's= .. Doctor !Duvall,
145.53 146.96	        	.. (SNIFF) .. you know?
146.96 148.66	        	.. @@[@@]@
147.81 148.10	ANGELA: 	     [@@]
148.66 150.80	DORIS:  	.. (H) And then I went to !Rotus,
150.80 153.43	        	... who's a seasoned ... [pol]itician,
152.26 152.55	ANGELA: 	                         [Yeah].
153.43 154.69	DORIS:  	.. if there ever was one,
154.69 157.66	        	... (H) @@@ <@ he just would flare @>.
157.66 158.59	        	.. (H) And I said,
158.59 158.95	        	well I- --
158.95 159.34	        	Alrigh=t.
159.34 159.66	        	I said,
159.66 161.20	        	I'll apologize next time.
161.20 164.01	        	... (H) % And I'm gonna make hay out of it.
164.01 164.90	        	Don't you worry.
164.90 166.51	        	.. @[@@@@@@
164.98 166.72	ANGELA: 	    [@@@@@@]
166.51 168.80	DORIS:  	(H)] <SM I wanna know how you birds got on that board,
168.80 172.47	        	if you're not SM> <@ political app[ointees @>] @@@[2@@@2].
170.13 170.92	ANGELA: 	                                  [@@@]
171.92 172.41	        	                                                  [2(SNIFF)2]
172.47 173.41	        	@[3@3]
172.94 174.48	DORIS:  	 [3(H)3] @@[4@@4]
173.81 174.15	ANGELA: 	           [4Mm4].
174.48 175.84	DORIS:  	(H) Oh= my.
175.84 182.89	ANGELA: 	... (H) Can I grow some basil?
182.89 184.20	        	... From seed?
184.20 184.97	SAM:    	... Yes,
184.97 185.71	        	that's how I've- --
185.71 187.31	        	(H) I don't have any this year,
187.31 189.02	        	but I've grown it other years.
189.02 189.93	ANGELA: 	.. (H)= [<X Well X>] --
189.47 190.43	SAM:    	        [There's] no problem.
190.43 192.14	        	It will not take any frost.
192.14 192.77	        	Soon as the b- --
192.77 193.50	        	(H)
193.50 194.19	ANGELA: 	.. Yeah [I-] --
193.84 194.82	SAM:    	        [A little bit] of frost,
194.82 195.93	        	... [2it's2] gone.
195.00 195.60	ANGELA: 	    [2I l-2] --
196.05 196.91	        	I learned that.
196.91 198.04	        	... one time [the-] --
197.77 199.18	SAM:    	             [I learned] it just went down.
199.18 200.04	ANGELA: 	the hard way.
200.04 200.73	        	Hm?
200.73 201.19	        	... Uh huh.
201.19 201.88	SAM:    	Yes?
201.88 205.31	ANGELA: 	(H) Well I think it was !Barbara that ... has some seeds.
205.31 206.17	SAM:    	... Just- --
206.17 207.04	        	No problem.
207.04 208.08	        	It comes [right] up.
207.41 207.60	ANGELA: 	         [Yeah].
208.08 208.75	        	... Yeah.
208.75 212.01	DORIS:  	... Isn't [that] what you gave the neighbor one time?
210.03 210.20	SAM:    	          [I-] --
212.01 215.16	DORIS:  	... You gave him some [2kind of herb2].
214.43 215.54	SAM:    	                      [2Did I give him some2] --
215.54 217.29	        	.. I gave him a red pepper.
217.29 218.67	DORIS:  	... I think you- --
218.67 221.80	        	I think you gave him ... some ... herb of some [kind].
221.43 223.36	SAM:    	                                               [I may have] given- given him some basil,
223.36 224.18	        	[2yes2].
223.77 224.26	DORIS:  	[2Yeah2],
224.26 225.69	SAM:    	.. (H) I don't have any this year,
225.69 226.62	        	I forgot to plant it,
226.62 227.76	        	... I have oregano,
227.76 228.23	ANGELA: 	.. Yeah.
228.23 229.46	SAM:    	a good stand of it,
229.46 230.40	        	if you want any,
230.40 231.17	ANGELA: 	... Yeah.
231.17 234.93	        	... I have a lot of dried ... or- oregano.
234.93 235.21	SAM:    	X
235.21 236.59	DORIS:  	.. Is your cigarette out,
236.59 237.21	        	... everybody's.
237.21 237.63	ANGELA: 	.. Yeah,
237.63 238.20	        	it's out.
238.20 241.88	DORIS:  	... You smoked it down into the .. cork,
241.88 242.45	        	didn't you.
242.45 243.90	ANGELA: 	... Pardon?
243.90 246.12	DORIS:  	.. (H) You smoked it down into the cork.
246.12 246.88	ANGELA: 	.. (H) Well,
246.88 247.27	        	yeah,
247.27 248.31	        	you don't [like that].
247.79 248.33	DORIS:  	          [(THROAT)]
248.33 248.92	ANGELA: 	Do you but --
248.92 249.43	DORIS:  	.. (H) No,
249.43 250.46	        	It chokes me to death.
250.46 250.81	ANGELA: 	[It's-] --
250.73 251.38	DORIS:  	[@@@]@@
251.38 252.05	ANGELA: 	It's there,
252.05 253.23	        	might as well smoke it.
253.23 253.82	DORIS:  	... <X Oh X>.
253.82 254.59	ANGELA: 	.. @@@
254.59 256.41	DORIS:  	... (H) No good.
256.41 257.37	ANGELA: 	.. No good.
257.37 260.07	        	... [Uh],
258.72 263.43	DORIS:  	    [(TSK) (H)]
263.43 264.67	ANGELA: 	... how's !Ted doing.
264.67 267.71	SAM:    	... (H) He's % keeping very busy,
267.71 270.22	        	he's on mostly= uh evening hours,
270.22 270.94	ANGELA: 	... [Mhm].
270.65 274.14	SAM:    	    [(H)] they're redoing the= pharmacy there at Wel- Wallmart.
274.14 274.68	ANGELA: 	[2Oh2]?
274.41 276.05	SAM:    	[2(H)] ... Enlarging it.
276.05 277.22	        	... A=nd,
277.22 277.59	ANGELA: 	.. [Well],
277.40 279.21	SAM:    	   [it's] close to the garden shop,
279.21 281.73	        	... and so the f=ellows in the garden shop,
281.73 282.82	        	and the pet shop,
282.82 287.36	        	(H) have to ... (H) move things out from that [area,
287.14 287.93	ANGELA: 	                                              [oh=].
287.36 288.77	SAM:    	into] the garden shop,
288.77 291.63	        	so they can work .. on the ... pharmacy.
291.63 294.09	ANGELA: 	(H) Well they needed to expand the pharmacy,
294.09 295.01	        	I've never been there,
295.01 295.30	        	but,
295.30 297.84	        	.. (H) what I had to wait and wait and wait.
297.84 299.37	SAM:    	... So I= don't- --
299.37 301.02	DORIS:  	... Where are they putting the pharma[cy].
300.89 302.95	SAM:    	                                     [Well they're] b- .. leaving it in the same place,
302.95 305.97	        	they're just .. (H) taking out two rows of,
305.97 307.88	        	... of uh=,
307.88 308.84	ANGELA: 	... S=- --
308.84 310.67	SAM:    	where the ... toiletries were.
310.67 311.19	ANGELA: 	... Yeah.
311.19 313.85	        	... Just inventory stuff.
313.85 314.51	        	... Moving [it].
314.28 315.11	SAM:    	           [%] .. % They're --
315.11 315.87	        	they're moving that.
315.87 316.56	        	I don't know where,
316.56 317.96	        	where they're going to put all that.
317.96 318.73	ANGELA: 	.. [Hm].
318.14 318.83	DORIS:  	   [(H)]
318.83 320.90	SAM:    	... But !Ted says there's [2not much2] garden left.
319.86 320.35	DORIS:  	                          [2(SNIFF)2]
320.90 321.19	SAM:    	Just,
321.19 323.07	        	... all of this stuff,
323.07 324.36	        	... out in there,
324.36 327.47	        	.. (H) he works uh .. six days next week,
327.47 331.13	        	... (TSK) ... [(THROAT)] instead of five days,
329.32 329.61	ANGELA: 	              [X].
331.13 332.64	SAM:    	he [2only gets2] one day off.
331.18 331.47	ANGELA: 	   [2Hm2].
332.57 333.11	        	.. M[3hm3].
332.84 333.90	SAM:    	    [3He's off3] today.
333.90 334.47	ANGELA: 	.. Mhm.
334.47 337.57	SAM:    	... (TSK) <X And uh X>,
337.57 339.44	ANGELA: 	... [Well],
338.55 340.49	SAM:    	    [but he hasn't] had day hours,
340.49 343.93	        	he's been working (H) ... evening hours and weekends.
343.93 345.23	ANGELA: 	... you know,
345.23 348.62	        	... I think I'd hate to be in business right now.
348.62 349.67	DORIS:  	... Oo=.
349.67 351.67	ANGELA: 	.. You can't .. sit .. still.
351.67 352.64	DORIS:  	... Hm-m.
352.64 354.95	ANGELA: 	... You have to expand,
354.95 357.21	        	... or something,
357.21 357.94	DORIS:  	... [(TSK)]
357.48 360.45	ANGELA: 	    [to keep] ... <MRC in the main stream MRC>.
360.45 363.55	SAM:    	... (TSK) ... Well,
363.55 365.27	        	and so many times when they expand,
365.27 366.68	        	they've (H) expanded,
366.68 368.11	        	and then things dropped back.
368.11 369.03	ANGELA: 	... Yeah.
369.03 371.77	SAM:    	... But this Wallmart needs=,
371.77 373.48	        	.. % needs a larger building.
373.48 374.25	ANGELA: 	.. [Yeah].
373.86 375.79	SAM:    	   [(H)] It's= just too cramped.
375.79 378.43	DORIS:  	Your shirt and beads= .. are most becoming.
378.43 379.61	ANGELA: 	.. (H)= Well you know,
379.61 382.27	        	I think they weigh about a quarter of an ounce.
382.27 384.31	        	(H) [And that's] the right kind of beads,
382.61 382.90	DORIS:  	    [Unhunh].
384.31 385.12	        	.. for summer.
385.12 387.41	ANGELA: 	.. (H) A little girl the other day,
387.41 389.90	        	... remarked about them,
389.90 390.34	        	and,
390.34 392.88	        	(H) ... almost on impulse,
392.88 394.79	        	... but I didn't do it.
394.79 396.39	        	... I thought I'd pull em off,
396.39 398.48	        	just give em to her if she liked em that [well].
