0.00 2.98	MONTOYA: 	What else.
2.98 7.46	        	... Politics deals with the question of power.
7.46 7.86	        	right?
8.06 9.76	        	... That's the introduction to empowerment.
9.76 10.71	        	.. What is power.
10.71 11.95	        	... Very quickly,
11.95 12.55	        	come on,
12.55 14.77	        	... all of you should know these two concepts,
14.77 15.95	        	.. they're not that difficult,
15.95 17.23	        	... What is power.
17.23 18.33	        	What are we talking about.
18.33 20.62	FRANK:  	.. Having the capacity to impact public policy.
20.62 21.18	MONTOYA: 	Alright.
21.18 22.89	        	(H) So if we're talking about politics,
22.89 25.07	        	politics is tied into the whole concept of power.
25.07 25.58	        	right?
25.58 28.91	        	... And if we're talking about .. empowerment as a concept,
28.91 32.01	        	(H) we must have an understanding of the notion of what is power.
32.01 34.41	        	(H) Now does .. power come in one form,
34.41 36.16	        	does it come in many different forms.
36.16 36.66	MARIA:  	... Different.
36.66 37.81	MONTOYA: 	... Different forms.
37.81 38.61	        	.. Back here.
38.61 39.75	        	... What forms.
39.75 41.83	        	... Give me examples of power.
41.83 45.27	        	... Either one of you.
45.27 45.99	RUBEN:  	... @@[@]
45.63 46.05	LAURA:  	      [@]
46.05 47.00	RUBEN:  	.. (H) Education,
47.00 48.51	        	... know[ledge,
48.05 48.62	MONTOYA: 	        [Alright,
48.62 49.25	        	.. knowledge],
48.58 49.19	RUBEN:  	knowledge].
49.24 50.27	MONTOYA 	... Okay,
50.27 50.78	        	.. what else.
50.78 52.23	LAURA:  	... U=m,
52.23 52.83	X:      	<WH Money WH>.
52.83 54.43	LAURA:  	... u=m,
54.43 58.85	        	... your .. position in the workforce?
58.85 59.17	        	.. U=m,
59.17 60.16	MONTOYA: 	Okay,
60.01 61.03	LAURA:  	<X I'm trying to think of the word X>.
61.03 61.67	MONTOYA: 	Alright.
61.67 62.27	        	... Close.
62.27 62.67	        	Right.
62.67 63.23	RAMON:  	Wealth,
63.23 64.05	        	.. num[bers],
63.64 64.20	MONTOYA: 	      [Wealth].
64.17 65.12	RAMON:  	numbers of people,
65.12 66.05	MONTOYA: 	Numbers of people.
66.05 66.61	        	.. right?
66.61 68.32	        	... What else.
68.32 70.03	FRANK:  	... Social status.
70.03 71.20	MONTOYA: 	.. Social status,
71.20 71.86	        	.. position,
71.86 72.53	        	.. right?
72.53 76.28	        	(H) If you're the chairperson of u=m .. a major corporation?
76.28 78.68	        	.. would you say that that person ... has some power?
78.68 80.13	FRANK:  	... Most definitely.
80.13 80.53	MONTOYA: 	.. Alright.
80.53 82.27	        	.. Especially if you're <X in uh X> IBM,
82.27 83.08	        	or General Motors,
83.08 85.00	        	or .. Chrysler [Corporation and],
84.44 85.29	RAMON:  	               [I think in some] __
85.29 85.89	        	.. some t_ __
85.89 86.71	        	.. some examples,
86.71 87.07	        	some,
87.07 88.83	        	... gender and race=,
88.83 90.04	        	... can give you power.
90.04 92.32	MONTOYA: 	... Gender race,
92.32 92.90	        	alright.
92.86 93.34	RAMON:  	[Gender] __
92.90 93.67	MONTOYA: 	[Let's deal] with that.
93.67 94.13	        	.. Alright.
94.13 94.81	        	.. Gender race.
94.81 96.52	        	.. Let's talk about (H) race,
96.52 97.44	        	.. in terms of power.
97.44 100.36	        	... I=f I make the statement which I di=d,
100.36 101.48	        	.. that there's no fear factor,
101.48 103.93	        	when it comes to= .. the Chicano_Latino community,
103.93 106.55	        	(H) and there is much more of a fear factor,
106.55 108.73	        	... in dealing with the African_American community,
108.73 111.31	        	... (H) am I not dealing with a racial factor of power?
111.31 112.16	RAMON:  	.. [<WH Yes= WH>].
111.56 112.14	FRANK:  	   [Sure].
112.16 112.49	MONTOYA: 	Why.
112.49 116.25	FRANK:  	... Because it's gonna affect,
116.25 117.62	        	... the decision making process,
117.62 118.33	        	.. the politics,
118.33 119.08	        	<X and um,
119.08 120.08	        	... [the policy X>].
119.28 119.85	MONTOYA: 	    [Alright].
120.08 121.58	RAMON:  	.. Africa_ __
121.58 122.55	        	I=n u=m,
122.55 122.96	        	.. i_ __
122.96 124.21	        	.. Kinda like in pas=t,
124.21 125.87	        	.. African_Americans have been more organized,
125.87 127.83	        	and have ... had more leaders,
127.83 129.39	        	(H) .. or not more leaders,
129.39 131.26	        	but who have more leaders who've been kn=own,
131.26 131.76	        	or [something,
131.36 132.39	MONTOYA: 	   [More recognized.
131.76 132.55	RAMON:  	like Martin Luther King_,
132.39 133.11	MONTOYA: 	.. That's right].
132.55 132.71	RAMON:  	Yeah,
132.71 133.48	        	more rec]ognized,
133.48 133.73	        	and,
133.73 134.23	MONTOYA: 	... [Alright].
133.98 135.38	RAMON:  	    [I think] that's a fear factor.
135.38 135.99	        	[2XX2]
135.38 137.04	MONTOYA: 	[2That is2] a part of the fear factor.
137.04 137.50	RAMON:  	.. [3Mhm3].
137.04 138.24	MONTOYA: 	   [3(H)3] I mean uh,
138.24 139.90	        	if .. one looks at what,
139.90 140.22	        	uh,
140.22 141.56	        	Jesse Jackson is doing,
141.56 143.43	        	vis a vis (H) .. who.
143.43 144.36	        	... The major league?
144.36 145.97	        	... Baseball teams and all that?
145.97 147.00	        	.. Football= and all that?
147.00 148.73	        	.. (H) What's his underlying argument.
148.73 149.74	        	.. What's his criticism.
149.74 154.38	        	... That there're not ... sufficient numbers of= .. what?
154.38 155.78	FRANK:  	... Blacks.
155.78 156.92	MONTOYA: 	.. Well he says minorities.
156.92 157.38	        	.. He's smart.
157.38 158.49	        	He's talks about minorities.
158.49 160.00	        	But he's really talking about African_Americans.
160.00 161.13	FRANK:  	... In the uh,
161.13 162.47	        	.. managerial process [of],
162.15 162.48	MONTOYA: 	                      [Right].
162.47 163.49	FRANK:  	.. of .. professional sports.
163.49 164.19	MONTOYA: 	Exactly.
164.19 165.07	        	... Managerial,
165.07 165.79	        	... owners,
165.79 166.61	        	... managers,
166.61 167.03	        	et cetera.
167.03 167.39	        	right?
167.39 168.57	        	.. Alright.
168.57 170.29	        	(Hx) Have you heard <X of a Latino X> say this?
170.29 173.23	        	... Or would a XXX Jesse Jackson have said that about Latinos?
