index,dialect,word
0,alabama,gooselock
1,alabama,swale
2,alabama,tickbird
3,alabama,twistification
4,alaska,ahkio
5,alaska,babiche
6,alaska,banya
7,alaska,barabara
8,alaska,bidar
9,alaska,bingle
10,alaska,cheechako
11,alaska,chy
12,alaska,hiyu
13,alaska,hoochinoo
14,alaska,hooligan
15,alaska,icta
16,alaska,kamleika
17,alaska,kelpfish
18,alaska,klootchman
19,alaska,lagoonberry
20,alaska,lingonberry
21,alaska,makoola
22,alaska,mashu
23,alaska,moroshka
24,alaska,mossberry
25,alaska,mukluk
26,alaska,muktuk
27,alaska,musher
28,alaska,muskeg
29,alaska,nagoonberry
30,alaska,needlefish
31,alaska,niggerhead
32,alaska,nushnik
33,alaska,oogruk
34,alaska,panguingue
35,alaska,petrushki
36,alaska,pickerel
37,alaska,pirok
38,alaska,pogy
39,alaska,poque
40,alaska,potlatch
41,alaska,puchki
42,alaska,pulka
43,alaska,pupmobile
44,alaska,redberry
45,alaska,redfish
46,alaska,salmonberry
47,alaska,sarana
48,alaska,sheefish
49,alaska,siwash
50,alaska,skijoring
51,alaska,skookum
52,alaska,snowmachine
53,alaska,soapberry
54,alaska,taku
55,alaska,ulu
56,alaska,wanigan
57,alaska,washateria
58,alaska,williwaw
59,alaska,wineberry
60,algonquian,ackempucky
61,algonquian,babiche
62,algonquian,bogan
63,algonquian,chinquapin
64,algonquian,chogset
65,algonquian,coakum
66,algonquian,cushaw
67,algonquian,eatup
68,algonquian,hominy
69,algonquian,killhag
70,algonquian,kinnikinnick
71,algonquian,kiskitomas
72,algonquian,kyack
73,algonquian,maninose
74,algonquian,mechameck
75,algonquian,methy
76,algonquian,moosemise
77,algonquian,mummichog
78,algonquian,muskeg
79,algonquian,muskellunge
80,algonquian,musquash
81,algonquian,namaycush
82,algonquian,nitchie
83,algonquian,pauhagen
84,algonquian,pegmonk
85,algonquian,pekan
86,algonquian,persimmon
87,algonquian,pishaug
88,algonquian,pocan
89,algonquian,pocosin
90,algonquian,podunk
91,algonquian,pokelogan
92,algonquian,pone
93,algonquian,pooquaw
94,algonquian,powwow
95,algonquian,puccoon
96,algonquian,pung
97,algonquian,quahog
98,algonquian,samp
99,algonquian,sannup
100,algonquian,seapoose
101,algonquian,supawn
102,algonquian,terrapin
103,algonquian,torshent
104,algonquian,torup
105,algonquian,tumpline
106,algonquian,wamp
107,algonquian,wampee
108,algonquian,wanigan
109,algonquian,wapato
110,algonquian,wickup
111,arizona,ajo
112,arizona,covena
113,arizona,greasewood
