0.00 3.40	>ENV:   	((DOOR_OPENS)) <<TALK
3.40 4.10	REBECCA: 	<<FOOTSTEPS Okay.
4.10 5.85	        	... (SNIFF) U=m,
5.85 7.40	>ENV:   	((DOOR_CLOSES))
7.40 7.80	REBECCA: 	The --
7.80 10.15	        	... The way that your testimony is FOOTSTEPS>> coming in,
10.15 12.01	        	... I don't know if I explained this to you o[n the ph]one,
11.50 11.75	RICKIE: 	                                             [Hm-m].
12.01 12.41	REBECCA: 	is,
12.41 15.61	        	(H)= when a person (Hx) is charged with multiple crimes,
15.61 16.56	        	(Hx)= .. a=nd,
16.56 17.16	        	u=m,
17.16 18.86	        	.. there .. are other incidences,
18.86 20.56	        	where he= acted in the same way?
20.56 21.13	RICKIE: 	[Mhm],
20.56 22.29	REBECCA: 	[(H)] When we have to prove,
22.29 24.74	        	in this case we have to prove specific intent.
24.74 24.74	>ENV:   	TALK>>
24.74 27.19	        	... to= expose himself to a person,
27.19 28.29	        	.. for sexual arousal.
28.29 28.54	        	(H)
28.54 28.84	RICKIE: 	<P Mm P>.
28.84 29.34	REBECCA: 	U=m,
29.34 31.99	        	.. when we have to prove something like specific intent,
31.99 32.84	        	(H) um,
32.84 34.34	        	or we have to prove identity.
34.34 36.44	        	... Because he's disputing identity in a coup- --
36.44 38.14	        	in ... at least one of the cases.
38.14 38.49	RICKIE: 	[Hm].
38.14 40.60	REBECCA: 	[(H)]= U=m (Hx)=,
40.60 41.15	        	then,
41.15 42.65	        	w=e are allowed to bring in,
42.65 44.57	        	... prior similar conduct.
44.57 45.47	        	... U=m,
45.47 47.37	        	.. where he acted in .. a,
47.37 48.82	        	.. an identical way,
48.82 51.47	        	or where the victims were in a similar situation.
51.47 51.88	RICKIE: 	[Okay].
51.47 52.24	REBECCA: 	[Things like] that,
52.24 54.89	        	(H) That's why we're able to have you come in and testify.
54.89 55.29	RICKIE: 	Okay.
55.29 55.89	REBECCA: 	Okay,
55.89 56.94	        	(H) .. U=m,
56.94 58.54	        	... the cases that we have,
58.54 59.80	        	... already,
59.80 60.30	        	.. are,
60.30 60.75	        	um,
60.75 63.25	        	.. one happened back in October of nineteen ninety,
63.25 63.70	        	...(H)
63.70 64.17	RICKIE: 	[Alright].
63.70 65.03	REBECCA: 	[and it] happened on BART,
65.03 67.28	        	.. and it's almost a carbon copy of [2your case2].
66.75 68.00	RICKIE: 	                                    [2Well I've2] made two,
68.00 69.45	        	... one a year from,
69.45 71.25	        	... almost a year from the,
71.25 72.35	        	.. uh police report.
72.35 73.68	REBECCA: 	I saw that in your report.
73.68 75.25	        	I haven't seen the other re[port].
74.80 75.25	RICKIE: 	                           [Yeah],
75.25 76.75	        	I made that one through=,
76.75 78.63	        	(H) matter of fact it was just .. over the phone,
78.63 80.18	        	and they never called me back or anything,
80.18 81.95	        	and a year later it happened again,
81.95 82.33	REBECCA: 	[Okay].
81.95 82.65	RICKIE: 	[(H) a]=nd,
82.65 84.05	        	then that's when they made the report,
84.05 85.80	        	and said they were gonna do something about it (Hx).
85.80 86.15	REBECCA: 	.. Okay.
86.15 87.95	RICKIE: 	.. S=o it hap[pened around --
87.05 88.80	REBECCA: 	             [So you can testify to] two of [2em2].
87.95 88.30	RICKIE:  	%] --
88.55 88.92	RICKIE: 	                                            [2Yeah2]=.
88.92 90.05	REBECCA: 	That's why I had you come up,
90.05 90.75	        	becau[se=],
90.45 90.75	RICKIE: 	     [Yeah],
90.75 91.55	REBECCA: 	... u=m,
91.55 92.90	        	... that's great.
92.90 93.50	RICKIE: 	Yeah (Hx).
93.50 94.10	REBECCA: 	(H) Um,
94.10 94.75	        	I mean not for @you,
94.75 95.62	        	[@@@]
94.75 96.42	RICKIE: 	[@@@] (H) [2@@2]
96.02 96.77	REBECCA: 	          [2(H)2] [3but3],
96.42 97.79	ARNOLD: 	                  [3@3]@@[4@@4]
97.17 97.79	RICKIE: 	                         [4Mhm4].
97.17 97.79	REBECCA: 	                         [4for us4],
97.79 99.34	ALL:    	@@@@@
99.34 100.69	REBECCA: 	(H) U=m,
100.69 101.84	        	.. (TSK) ... i- --
101.84 103.09	        	in our first case,
103.09 104.34	        	.. ~Amelia ~Gonzalez,
104.34 104.94	        	.. um,
104.94 105.59	        	... that uh,
105.59 106.79	        	that happened back in ninety.
106.79 108.94	        	And she was seated a%- in the rear of the train,
108.94 109.26	RICKIE: 	[Yeah],
108.94 109.65	REBECCA: 	[which] .. you were,
109.65 110.04	RICKIE: 	[2Mhm2].
109.65 110.84	REBECCA: 	[2(H)2] u=m,
110.84 112.49	        	... nobody else was around,
112.49 115.44	        	... and he= sort of walked up and [down the train].
114.61 115.66	RICKIE: 	                                  [Down the ais]le,
115.66 116.16	        	.. [2Mhm2].
115.76 116.83	REBECCA: 	   [2checked every2]thing ou[3t3],
116.73 117.16	RICKIE: 	                            [3Y3]eah,
