REBECCA,CA,FOOTSTEPS Okay SNIFF Um REBECCA The The way that your testimony is FOOTSTEPS coming in I don't know if I explained this to you on the phone
RICKIE,CA,Hm-m
REBECCA,CA,is H when a person Hx is charged with multiple crimes Hx and um there are other incidences where he acted in the same way
RICKIE,CA,Mhm
REBECCA,CA,H When we have to prove in this case we have to prove specific intent to expose himself to a person for sexual arousal H
RICKIE,CA,P Mm P
REBECCA,CA,Um when we have to prove something like specific intent H um or we have to prove identity Because he's disputing identity in a coup in at least one of the cases
RICKIE,CA,Hm
REBECCA,CA,H Um Hx then we are allowed to bring in prior similar conduct Um where he acted in a an identical way or where the victims were in a similar situation
RICKIE,CA,Okay
REBECCA,CA,Things like that H That's why we're able to have you come in and testify
RICKIE,CA,Okay
REBECCA,CA,Okay H Um the cases that we have already are um one happened back in October of nineteen ninety H
RICKIE,CA,Alright
REBECCA,CA,and it happened on BART and it's almost a carbon copy of your case
RICKIE,CA,Well I've made two one a year from almost a year from the uh police report
REBECCA,CA,I saw that in your report I haven't seen the other report
RICKIE,CA,Yeah I made that one through H matter of fact it was just over the phone and they never called me back or anything and a year later it happened again
REBECCA,CA,Okay
RICKIE,CA,H and then that's when they made the report and said they were gonna do something about it Hx
REBECCA,CA,Okay
RICKIE,CA,So it happened around
REBECCA,CA,So you can testify to two of em
RICKIE ,CA,
RICKIE,CA,Yeah
REBECCA,CA,That's why I had you come up because
RICKIE,CA,Yeah
REBECCA,CA,um that's great
RICKIE,CA,Yeah Hx
REBECCA,CA,H Um I mean not for you
RICKIE,CA,H @@
REBECCA,CA,H but
ARNOLD,MI,@@@@@
RICKIE,CA,Mhm
REBECC,CA, for us ALL
REBECCA,CA,H Um TSK i in our first case Amelia Gonzalez um that uh that happened back in ninety And she was seated a in the rear of the train
RICKIE,CA,Yeah
REBECCA,CA,which you were
RICKIE,CA,Mhm
REBECCA,CA,H um nobody else was around and he sort of walked up and down the train
RICKIE,CA,Down the aisle Mhm
REBECCA,CA,checked everything out
RICKIE,CA,Yeah
REBECCA,CA,and then sat down
RICKIE,CA,Mhm
REBECCA,CA,put the newspaper on his lap
RICKIE,CA,Yeah
REBECCA,CA,masturbated and then lifted the paper up
RICKIE,CA,Yeah
REBECCA,CA,for her to see TSK And she saw it in the the reflection
RICKIE,CA,n n X Oh X the mirror
REBECCA,CA,H cause she was looking out the window
RICKIE,CA,That's how I did it too
REBECCA,CA,saying I don't want to see this
RICKIE,CA,Cause I didn't want to see him so I looked this way and you can see it
REBECCA,CA,Right
RICKIE,CA,You know
REBECCA,CA,Cause it turns into the mirror effect
RICKIE,CA,Yeah mhm
REBECCA,CA,H And he was just sort of staring at her and lifting up the paper
RICKIE,CA,Yeah mhm
REBECCA,CA,H Um so anyway
RICKIE,CA,Exactly %Hx
REBECCA,CA,it c- it's a carbon copy
RICKIE,CA,Yeah
REBECCA,CA,and um in that case he's H he sits through all the testimony and he just sort of shakes his head and makes these big gasps like H you know we're creating this whole thing against him
RICKIE,CA,Hm
REBECCA,CA,H Um
ARNOLD,MI,@@
REBECCA,CA,and then with June
ARNOLD,MI,H
REBECCA,CA,um the woman that just walked out
RICKIE,CA,Unhunh
REBECCA,CA,um H she was riding on BART and he came and sat near her she moved he moved to get closer to her H she moved again and he moved directly opposite her
RICKIE,CA,Mhm
REBECCA,CA,and then started masturbating H
RICKIE,CA,Yeah
REBECCA,CA,So
RICKIE,CA,H X well X see what it is it seems like he wants X someone X more scary y I don't know cause H he would walk up and down the aisles there was women on the other side too but they'd look like you know you wouldn't mess with em but if you're sitting there you know trying to mind your own business or
REBECCA,CA,Right
RICKIE,CA,look like you can intimidate someone you know
REBECCA,CA,Right
